No. Beds,No. Baths,Area,Type_n,Region_n,Sub-region_n,Price
2.0,2.0,850.0,0,63,170,4285000
3.0,2.0,1075.0,0,22,185,3762500
3.0,3.0,1900.0,0,4,322,18500000
3.0,3.0,1250.0,0,30,411,4800000
3.0,3.0,1100.0,0,40,85,5500000
3.0,4.0,2000.0,0,66,372,21000000
3.0,2.0,1160.0,0,40,348,6500000
3.0,3.0,1465.0,0,11,57,9000000
2.0,2.0,850.0,0,63,170,4285000
3.0,3.0,1480.0,0,11,55,10000000
3.0,2.0,1220.0,0,40,450,5000000
3.0,2.0,1100.0,0,60,96,3300000
2.0,2.0,810.0,0,31,125,4500000
3.0,2.0,966.0,0,53,82,2704800
4.0,4.0,2200.0,0,20,152,19300000
3.0,3.0,1650.0,0,11,54,11500000
3.0,3.0,1220.0,0,43,73,4636000
3.0,3.0,1150.0,0,40,85,6300000
3.0,3.0,1650.0,0,11,54,11500000
3.0,2.0,1250.0,0,31,75,8600000
3.0,2.0,1243.0,0,7,249,8079500
2.0,2.0,950.0,0,50,286,8500000
3.0,3.0,1350.0,0,6,51,4500000
3.0,3.0,1600.0,0,66,351,9900000
3.0,3.0,1650.0,0,43,65,6435000
3.0,2.0,1055.0,0,59,233,5500000
3.0,2.0,1050.0,0,21,140,6000000
3.0,2.0,1100.0,0,40,223,4950000
3.0,3.0,1150.0,0,6,406,5000000
5.0,7.0,4736.0,0,15,309,74000000
3.0,3.0,1265.0,0,56,283,10500000
3.0,3.0,1480.0,0,11,55,10000000
3.0,3.0,1465.0,0,15,440,9500000
2.0,2.0,1010.0,0,13,198,4500000
3.0,3.0,1711.0,0,44,239,10000000
3.0,3.0,1890.0,0,4,322,22000000
3.0,3.0,1554.0,0,40,278,11500000
3.0,3.0,1225.0,0,59,313,6125000
3.0,3.0,1200.0,0,2,438,4800000
2.0,2.0,910.0,0,31,125,3200000
3.0,4.0,1700.0,0,64,42,8600000
20.0,10.0,12000.0,1,6,50,70500000
2.0,2.0,700.0,0,13,113,2500000
3.0,3.0,4320.0,3,11,57,28200000
3.0,3.0,1260.0,0,61,426,8820000
3.0,3.0,1975.0,0,18,131,27000000
3.0,3.0,1200.0,0,40,101,5500000
2.0,1.0,700.0,0,22,47,3500000
3.0,4.0,2172.0,0,43,115,23500000
4.0,3.0,1540.0,0,43,230,8300000
3.0,3.0,1650.0,0,11,55,12000000
3.0,3.0,1300.0,0,1,50,9000000
3.0,2.0,1071.0,0,13,118,4284000
2.0,2.0,1060.0,0,61,436,6300000
3.0,3.0,1450.0,0,20,297,8700000
3.0,3.0,1350.0,0,3,7,5500000
4.0,4.0,2600.0,0,40,343,14300000
3.0,2.0,950.0,0,40,450,4500000
2.0,2.0,650.0,0,40,85,3700000
4.0,4.0,1510.0,0,52,105,7000000
3.0,3.0,1500.0,0,43,87,5250000
2.0,2.0,750.0,0,43,259,3600000
3.0,3.0,1270.0,0,32,245,4500000
3.0,4.0,2000.0,0,11,58,12400000
3.0,3.0,1960.0,0,4,298,18000000
3.0,3.0,1320.0,0,44,290,8500000
2.0,2.0,700.0,0,40,343,3000000
3.0,3.0,1172.0,0,20,394,5860000
3.0,3.0,1500.0,0,52,449,11250000
3.0,3.0,2350.0,0,59,123,15500000
3.0,3.0,1335.0,0,66,350,9200000
3.0,2.0,1200.0,0,26,263,9000000
3.0,3.0,1901.0,0,66,368,19000000
3.0,2.0,800.0,0,43,73,2700000
3.0,3.0,1350.0,0,40,346,6075000
3.0,3.0,2186.0,0,8,58,18000000
2.0,2.0,900.0,0,27,179,4950000
5.0,4.0,1750.0,0,40,107,7500000
3.0,2.0,1100.0,0,52,449,4950000
3.0,4.0,1565.0,0,66,350,7500000
3.0,3.0,1450.0,0,43,273,10500000
3.0,3.0,1334.0,0,8,58,12000000
3.0,3.0,1370.0,0,1,52,8500000
3.0,2.0,1100.0,0,14,215,5000000
2.0,2.0,700.0,0,40,343,3000000
2.0,2.0,900.0,0,49,30,4680000
3.0,2.0,1200.0,0,60,96,4800000
3.0,4.0,1625.0,0,58,275,12000000
3.0,3.0,1250.0,0,15,440,7500000
3.0,2.0,1110.0,0,31,125,4440000
4.0,4.0,2665.0,0,19,254,23985000
3.0,3.0,1440.0,0,40,163,6000000
3.0,3.0,1300.0,0,60,441,5400000
3.0,3.0,1275.0,0,13,19,7612500
4.0,3.0,1500.0,0,10,155,6300000
3.0,3.0,1530.0,0,15,440,9639000
3.0,2.0,950.0,0,6,406,3800000
3.0,2.0,950.0,0,37,225,5000000
3.0,4.0,1700.0,0,66,352,9100000
3.0,4.0,1850.0,0,8,58,15000000
3.0,3.0,1653.0,0,52,105,7438500
4.0,4.0,1900.0,0,11,48,17000000
3.0,2.0,1050.0,0,15,440,6300000
4.0,3.0,1620.0,0,13,118,6700000
3.0,4.0,3100.0,0,15,304,51680000
3.0,3.0,1369.0,0,40,346,11178200
3.0,3.0,1241.0,0,6,55,7507000
3.0,3.0,1614.0,0,43,73,7250000
3.0,3.0,1350.0,0,43,231,8400000
3.0,3.0,1250.0,0,43,259,6875000
3.0,2.0,900.0,0,55,271,5500000
3.0,3.0,1275.0,0,20,152,8670000
3.0,3.0,1405.0,0,0,31,7850000
3.0,3.0,1550.0,0,2,438,8000000
3.0,3.0,1550.0,0,2,438,8000000
4.0,4.0,1754.0,0,58,253,17540000
3.0,3.0,1350.0,0,40,85,7400000
2.0,2.0,1300.0,0,40,343,7150000
3.0,3.0,1380.0,0,12,209,6210000
3.0,4.0,2700.0,0,18,130,35000000
3.0,3.0,1100.0,0,13,19,6650000
3.0,3.0,1250.0,0,40,341,7375000
3.0,3.0,1300.0,0,13,19,7750000
4.0,4.0,3375.0,2,8,59,21000000
3.0,3.0,1570.0,0,11,55,10500000
3.0,2.0,1170.0,0,3,432,4095000
3.0,3.0,1140.0,0,40,277,4800000
3.0,3.0,1348.0,0,0,260,7818400
2.0,2.0,760.0,0,40,341,3800000
5.0,6.0,4000.0,2,11,50,37500000
2.0,2.0,935.0,0,0,329,6500000
2.0,2.0,850.0,0,13,261,4000000
3.0,3.0,1100.0,0,6,58,6500000
3.0,2.0,966.0,0,53,82,2704800
2.0,2.0,825.0,0,43,65,3300000
4.0,4.0,1850.0,0,0,77,10500000
3.0,3.0,2108.0,0,0,148,15656000
3.0,4.0,3000.0,2,14,215,13000000
2.0,2.0,950.0,0,40,340,5725000
3.0,3.0,1480.0,0,40,346,9500000
3.0,2.0,850.0,0,23,147,3000000
3.0,3.0,1250.0,0,63,238,12500000
3.0,3.0,1000.0,0,22,89,5300000
3.0,2.0,1050.0,0,59,313,5700000
3.0,3.0,2680.0,0,18,131,32160000
3.0,3.0,1044.0,0,66,350,6000000
2.0,2.0,714.0,0,40,344,3000000
3.0,3.0,1273.0,0,64,166,6200000
3.0,3.0,1179.0,0,4,313,12500000
3.0,3.0,1390.0,0,40,85,7665000
3.0,3.0,1650.0,0,3,221,8500000
3.0,3.0,1500.0,0,11,53,12000000
3.0,3.0,1350.0,0,43,65,6575000
3.0,2.0,950.0,0,40,340,4600000
3.0,3.0,1530.0,0,10,407,7029000
3.0,3.0,1336.0,0,3,432,7500000
3.0,3.0,1100.0,0,6,58,6200000
2.0,2.0,537.0,0,7,34,4134900
3.0,3.0,1200.0,0,11,52,6800000
3.0,4.0,1330.0,0,31,75,8000000
3.0,3.0,975.0,0,63,170,6056700
3.0,3.0,1067.0,0,48,257,8002500
3.0,3.0,1100.0,0,55,271,6600000
3.0,4.0,1700.0,2,64,42,8600000
4.0,4.0,2084.0,0,43,27,17000000
3.0,3.0,1250.0,0,43,27,9250000
3.0,2.0,1100.0,0,40,224,4820000
3.0,3.0,1400.0,0,63,425,11000000
4.0,3.0,1721.0,0,43,73,7600000
4.0,3.0,1700.0,0,43,73,6450000
3.0,2.0,1100.0,0,63,448,9000000
3.0,3.0,1230.0,0,40,284,4500000
3.0,3.0,1400.0,0,47,53,11000000
3.0,4.0,1900.0,0,11,55,13500000
4.0,4.0,1300.0,0,40,343,5500000
2.0,2.0,700.0,0,40,343,3000000
3.0,3.0,2100.0,0,15,328,24000000
3.0,3.0,1850.0,0,11,54,13000000
3.0,3.0,1080.0,0,40,343,4200000
3.0,2.0,1100.0,0,40,223,4950000
3.0,4.0,1620.0,0,11,54,10530000
3.0,3.0,1240.0,0,13,19,5500000
3.0,4.0,1880.0,0,11,57,12220000
3.0,3.0,3640.0,3,11,60,30000000
4.0,4.0,2850.0,0,8,304,65000000
3.0,2.0,1100.0,0,13,198,4800000
3.0,4.0,2250.0,0,4,320,30000000
3.0,2.0,800.0,0,43,73,2700000
3.0,3.0,1300.0,0,37,251,8000000
3.0,3.0,1200.0,0,30,411,4800000
3.0,3.0,2160.0,3,1,54,24000000
3.0,3.0,1500.0,0,66,350,9000000
3.0,2.0,965.0,0,37,66,7000000
4.0,4.0,2150.0,0,18,130,37000000
3.0,3.0,1200.0,0,43,73,4000000
2.0,2.0,750.0,0,30,21,3600000
4.0,4.0,2040.0,0,11,57,16000000
2.0,2.0,800.0,0,59,313,5000000
3.0,2.0,1125.0,0,13,113,4775000
3.0,2.0,975.0,0,40,284,4887500
3.0,3.0,1400.0,0,6,51,7000000
3.0,4.0,1435.0,0,20,394,11000000
2.0,2.0,800.0,0,22,88,3600000
3.0,3.0,3640.0,3,40,342,25000000
3.0,3.0,1350.0,0,43,65,6575000
3.0,3.0,1450.0,0,44,124,9800000
2.0,2.0,850.0,0,3,432,4500000
3.0,3.0,2882.0,0,8,302,50000000
3.0,3.0,1100.0,0,20,403,5500000
3.0,2.0,1075.0,0,40,284,5000000
3.0,3.0,1450.0,0,20,297,8700000
3.0,2.0,900.0,0,13,261,4000000
3.0,2.0,1030.0,0,60,96,4300000
3.0,2.0,1250.0,0,15,440,7500000
2.0,1.0,790.0,0,53,35,1975000
3.0,3.0,2000.0,0,18,131,35000000
3.0,2.0,1150.0,0,40,341,6325000
2.0,2.0,900.0,0,49,30,4680000
2.0,2.0,950.0,0,40,340,5725000
3.0,3.0,1250.0,0,58,396,8750000
3.0,4.0,1643.0,0,11,50,12322500
2.0,2.0,955.0,0,22,95,4800000
3.0,3.0,1050.0,0,15,440,6300000
3.0,2.0,1035.0,0,36,48,12000000
4.0,4.0,1850.0,0,43,259,11275000
3.0,3.0,1451.0,0,20,394,7255000
2.0,2.0,800.0,0,43,259,8700000
3.0,3.0,1440.0,0,18,130,25000000
3.0,3.0,728.0,3,11,62,2500000
3.0,3.0,1450.0,0,20,297,8700000
3.0,2.0,950.0,0,60,96,3800000
3.0,3.0,1350.0,0,40,278,6500000
3.0,4.0,1850.0,0,8,58,15000000
3.0,2.0,1313.0,0,60,156,4200000
2.0,1.0,450.0,0,7,34,1200000
3.0,3.0,1168.0,0,2,438,6424000
3.0,3.0,1280.0,0,12,212,5600000
3.0,3.0,1300.0,0,11,52,10000000
3.0,3.0,1606.0,0,66,369,11000000
3.0,4.0,1554.0,0,40,278,10000000
2.0,2.0,650.0,0,40,343,2600000
3.0,3.0,1120.0,0,6,406,6000000
3.0,2.0,1080.0,0,40,343,5000000
3.0,4.0,2000.0,0,4,311,39000000
3.0,3.0,1300.0,0,9,329,11000000
3.0,4.0,2239.0,0,66,353,26920200
3.0,3.0,2880.0,0,18,130,27000000
2.0,2.0,620.0,0,35,134,3400000
3.0,2.0,1125.0,0,13,113,4775000
2.0,2.0,800.0,0,3,405,2700000
2.0,2.0,760.0,0,40,341,3800000
3.0,2.0,1050.0,0,40,341,5700000
3.0,4.0,1820.0,0,17,274,18500000
2.0,2.0,700.0,0,40,343,3000000
3.0,3.0,1240.0,0,4,325,13500000
3.0,3.0,1485.0,0,40,85,8167000
3.0,3.0,1480.0,0,38,386,6660000
2.0,2.0,900.0,0,29,79,5000000
3.0,3.0,2184.0,3,66,374,16000000
3.0,3.0,1350.0,0,11,55,11000000
3.0,3.0,2674.0,0,15,326,44000000
3.0,3.0,1250.0,0,1,50,8500000
3.0,3.0,2120.0,0,66,372,16500000
3.0,3.0,1200.0,0,20,403,6000000
3.0,2.0,1050.0,0,3,221,5040000
2.0,2.0,650.0,0,40,343,2500000
3.0,3.0,1276.0,0,40,340,8600000
3.0,3.0,2520.0,3,1,61,15750000
3.0,3.0,1120.0,0,52,105,7100000
3.0,4.0,2000.0,0,11,57,14000000
3.0,3.0,1110.0,0,15,394,6438000
3.0,3.0,5096.0,3,51,350,56000000
4.0,4.0,1750.0,0,40,340,10000000
2.0,2.0,830.0,0,53,35,2739000
3.0,2.0,1150.0,0,43,87,4000000
3.0,3.0,1440.0,0,17,255,11500000
3.0,4.0,2000.0,0,11,57,14500000
3.0,3.0,1425.0,0,2,438,8000000
3.0,3.0,1250.0,0,22,122,6250000
3.0,3.0,2984.0,0,15,304,49847200
3.0,4.0,1650.0,0,43,276,9000000
3.0,3.0,1350.0,0,1,52,7650000
3.0,3.0,1050.0,0,44,124,5250000
3.0,3.0,1160.0,0,15,394,7660000
3.0,2.0,900.0,0,33,153,4050000
3.0,3.0,1194.0,0,3,146,8358000
3.0,3.0,1350.0,0,40,450,8125000
3.0,3.0,1157.0,0,13,198,6300000
3.0,3.0,1225.0,0,67,137,4500000
3.0,3.0,1465.0,0,15,440,9600000
3.0,3.0,5400.0,3,51,358,57000000
3.0,3.0,1160.0,0,15,394,6728000
3.0,3.0,3640.0,3,65,200,7000000
4.0,4.0,1575.0,0,40,224,6300000
2.0,3.0,1250.0,0,15,308,10350000
3.0,3.0,1160.0,0,40,340,6880000
2.0,2.0,850.0,0,63,170,4285000
2.0,2.0,700.0,0,40,343,3000000
3.0,2.0,1040.0,0,31,125,5000000
3.0,3.0,1350.0,0,61,246,7200000
2.0,2.0,950.0,0,40,444,5000000
3.0,3.0,1500.0,0,36,49,18000000
3.0,3.0,2912.0,3,51,355,31000000
3.0,3.0,1550.0,0,53,141,5600000
3.0,3.0,1650.0,0,40,224,7500000
3.0,2.0,1120.0,0,10,292,3920000
3.0,3.0,1350.0,0,40,278,6500000
3.0,3.0,1450.0,0,43,138,13000000
3.0,2.0,1175.0,0,52,449,5287500
3.0,3.0,1353.0,0,43,17,12800000
2.0,1.0,600.0,0,34,241,3000000
3.0,3.0,1260.0,0,40,342,6800000
3.0,2.0,1220.0,0,40,450,5000000
3.0,3.0,1245.0,0,40,85,7500000
2.0,2.0,860.0,0,3,432,3000000
3.0,3.0,1614.0,0,43,73,7250000
3.0,3.0,1350.0,0,11,50,10000000
3.0,4.0,1900.0,0,11,50,16000000
3.0,3.0,1300.0,0,13,19,6760000
2.0,1.0,650.0,0,63,448,2800000
3.0,4.0,1255.0,0,11,54,8500000
2.0,2.0,1015.0,0,63,448,5500000
2.0,2.0,650.0,0,40,343,2500000
3.0,2.0,850.0,0,33,153,3825000
3.0,2.0,1005.0,0,3,221,5025000
3.0,4.0,1488.0,0,66,353,10500000
3.0,3.0,1500.0,0,54,244,9800000
4.0,4.0,2989.0,0,18,131,60000000
4.0,3.0,1369.0,0,11,55,13000000
3.0,2.0,927.0,0,43,259,4885000
2.0,2.0,830.0,0,12,213,3320000
3.0,2.0,1200.0,0,60,96,4800000
3.0,3.0,1400.0,0,40,450,8400000
3.0,3.0,1800.0,0,66,352,10000000
2.0,2.0,915.0,0,38,386,5000000
3.0,2.0,870.0,0,3,432,3465000
3.0,2.0,1050.0,0,43,73,3780000
3.0,3.0,1798.0,0,36,48,20677000
3.0,3.0,1096.0,0,44,293,8500000
3.0,3.0,1250.0,0,20,418,6250000
2.0,2.0,917.0,0,40,2,3668000
3.0,2.0,950.0,0,43,73,3800000
3.0,3.0,1323.0,0,20,297,7276500
3.0,3.0,3600.0,3,11,63,8000000
3.0,3.0,1253.0,0,3,432,6265000
4.0,3.0,1700.0,0,66,350,9200000
3.0,3.0,1172.0,0,20,394,5860000
3.0,3.0,1938.0,0,66,355,12800000
3.0,3.0,1150.0,0,40,85,6300000
2.0,1.0,700.0,0,3,432,2000000
3.0,2.0,1000.0,0,10,100,3800000
2.0,2.0,750.0,0,12,209,3500000
2.0,2.0,720.0,0,60,96,2800000
2.0,2.0,919.0,0,40,2,3676000
2.0,2.0,850.0,0,13,261,4000000
3.0,2.0,975.0,0,40,278,5362500
3.0,4.0,1925.0,0,11,50,13475000
4.0,4.0,1601.0,0,52,449,10406500
3.0,3.0,1250.0,0,0,77,7000000
3.0,3.0,1300.0,0,6,49,7000000
3.0,3.0,1550.0,0,6,53,9216900
3.0,2.0,1140.0,0,40,341,6200000
2.0,2.0,700.0,0,40,343,3000000
3.0,3.0,1400.0,0,43,87,5000000
2.0,2.0,950.0,0,66,351,7000000
3.0,2.0,950.0,0,60,96,3300000
3.0,3.0,1300.0,0,60,96,5000000
3.0,3.0,1345.0,0,3,221,6697600
3.0,3.0,1385.0,0,13,19,8810000
3.0,3.0,1650.0,0,43,65,7500000
3.0,3.0,2550.0,0,43,17,35700000
2.0,2.0,750.0,0,35,177,5200000
3.0,3.0,1622.0,0,12,214,6500000
3.0,2.0,1050.0,0,6,56,5600000
3.0,3.0,1138.0,0,37,66,6200000
3.0,3.0,1350.0,0,66,350,9345000
3.0,3.0,1290.0,0,31,75,12500000
4.0,3.0,1729.0,0,58,275,16406800
2.0,2.0,1100.0,0,38,129,5600000
3.0,3.0,1500.0,0,43,87,5250000
3.0,3.0,1900.0,0,15,321,12350000
2.0,2.0,750.0,0,40,342,2500000
3.0,3.0,1350.0,0,40,341,7250000
3.0,4.0,2000.0,0,66,372,21000000
3.0,3.0,1350.0,0,11,55,11000000
3.0,2.0,950.0,0,43,73,3800000
3.0,2.0,1050.0,0,40,341,5700000
3.0,3.0,7280.0,3,51,373,76000000
3.0,4.0,2100.0,0,11,52,17000000
3.0,3.0,1597.0,0,6,55,9383500
3.0,3.0,1250.0,0,40,163,6250000
3.0,3.0,900.0,0,13,19,6100000
3.0,3.0,1800.0,3,1,56,15000000
3.0,2.0,950.0,0,40,101,4000000
4.0,4.0,2200.0,0,15,303,35000000
3.0,3.0,1420.0,0,3,146,9940000
4.0,4.0,3217.0,0,66,372,32170000
3.0,3.0,1300.0,0,0,31,6850000
3.0,3.0,1624.0,0,10,100,7308000
3.0,2.0,885.0,0,13,113,3700000
3.0,2.0,1060.0,0,38,445,7000000
3.0,4.0,2130.0,0,11,54,15600000
4.0,3.0,1400.0,0,3,383,6500000
3.0,3.0,1020.0,0,43,231,6700000
3.0,3.0,1530.0,0,57,430,15500000
3.0,3.0,1500.0,0,40,11,8250000
2.0,2.0,600.0,0,13,113,2500000
3.0,4.0,2058.0,0,66,369,19639400
4.0,3.0,1400.0,0,3,219,6800000
3.0,2.0,1100.0,0,40,450,5000000
3.0,3.0,2115.0,0,66,353,22919000
2.0,2.0,800.0,0,17,145,4200000
4.0,4.0,2400.0,0,11,48,19500000
3.0,3.0,2181.0,3,53,20,5000000
3.0,4.0,1762.0,0,6,53,12000000
3.0,3.0,1760.0,0,66,370,21500000
3.0,3.0,1554.0,0,40,278,11500000
2.0,2.0,810.0,0,43,73,3000000
3.0,2.0,850.0,0,43,259,4800000
3.0,3.0,3180.0,3,53,20,5500000
2.0,2.0,950.0,0,15,439,4500000
2.0,2.0,537.0,0,7,34,4134900
2.0,2.0,750.0,0,43,259,3600000
3.0,3.0,1353.0,3,15,69,25000000
3.0,3.0,1400.0,0,47,49,15000000
2.0,2.0,750.0,0,43,259,3600000
3.0,3.0,1450.0,0,40,447,7000000
3.0,3.0,1288.0,0,10,197,8070400
3.0,5.0,2000.0,0,18,130,35000000
5.0,5.0,3286.0,2,11,50,25645000
3.0,3.0,1243.0,0,3,432,6000000
3.0,2.0,1100.0,0,40,223,4950000
3.0,3.0,1616.0,0,66,354,10504000
3.0,3.0,1350.0,0,40,346,6075000
3.0,2.0,950.0,0,43,73,3800000
2.0,2.0,1066.0,0,40,444,4500000
3.0,3.0,3640.0,3,51,356,29000000
3.0,3.0,3640.0,3,51,374,31000000
2.0,2.0,900.0,0,31,125,4000000
3.0,3.0,1265.0,0,56,283,11000000
3.0,3.0,2184.0,3,13,173,10000000
2.0,2.0,760.0,0,40,341,3800000
3.0,3.0,1450.0,0,43,259,7250000
3.0,3.0,940.0,0,12,212,3500000
3.0,3.0,1220.0,0,66,350,7500000
